createAt,id,accel_y,accel_z,temperature,accel_x
2022-07-14 09:30:45,message_1de618c1-3598-47d4-8a51-96cd5e6d7935,11.48794,-1.095913,27.02412,2.900101
2022-07-14 09:30:51,message_a4a9273d-53db-491a-ae7e-2ba0e7c3814c,11.39462,-0.993021,26.97706,2.914458
2022-07-14 09:30:57,message_34be5d59-40dd-4807-9f03-de0852b204ac,11.22473,-0.129212,27.02412,3.349952
2022-07-14 09:31:00,message_72200c47-b0d8-4dbc-94e6-8c5d99a33b1e,12.15075,-3.227918,27.02412,1.485943
2022-07-14 09:31:06,message_93e6c536-48fb-44b1-aea9-741afa4f8774,11.39223,3.010171,26.93,2.548356
2022-07-14 09:31:12,message_2dfb5262-ff97-453d-a313-7a594ef40348,10.86341,-2.033899,26.97706,7.13779
2022-07-14 09:31:15,message_55ae7a77-2e4d-4a1c-9fd7-1bfe844b1fdf,9.860823,-3.304488,26.97706,8.377272
2022-07-14 09:31:21,message_02563215-f3a4-478a-9484-438036d6ebf0,11.34437,3.09392,26.93,3.072384
2022-07-14 09:31:27,message_ea2ba0d2-fcaa-4bf8-8e01-349218a72036,11.52383,3.608377,26.88294,3.165704
2022-07-14 09:31:30,message_d1979ec4-ebe3-499e-ab99-1c3b63a90df2,11.09313,-5.649455,26.74176,4.754539
2022-07-14 09:31:36,message_6a86632e-b461-416a-ab58-f72c6f0b43d8,12.05983,3.113062,26.88294,-0.600598
2022-07-14 09:31:42,message_ec9b5d76-51c0-4639-9387-595fc45c386e,10.53321,-0.851845,26.88294,6.281159
2022-07-14 09:31:45,message_24d64296-3593-448c-978f-2cc9bebd1bb2,12.09093,0.825524,26.78882,-1.198804
2022-07-14 09:31:51,message_31a300fa-da16-4e46-b58a-c42cf64cab5d,10.17428,-0.433101,26.78882,7.372286
2022-07-14 09:31:57,message_e3f33d91-f69a-4768-9377-a93d6590dcf7,12.18425,-0.095713,26.78882,-1.627119
2022-07-14 09:32:00,message_2c5e55a9-c699-453e-8bf3-2acf12cc1e33,12.49293,-0.189033,26.83588,-2.098505
2022-07-14 09:32:06,message_a5a406c4-1e5d-4724-a46c-bb527e2424b8,11.62194,3.785445,26.78882,1.399801
2022-07-14 09:32:12,message_bbaceefc-4055-4f1e-8eae-e9703b6fdec4,11.21037,-5.718846,26.74176,3.823731
2022-07-14 09:32:15,message_76099393-e0cc-43f0-a444-4070e2846853,11.51187,-4.902894,26.78882,2.069792
2022-07-14 09:32:21,message_f13a52a0-cd67-44b6-8123-6742619bfcea,12.17707,-4.364509,26.83588,-0.485743
2022-07-14 09:32:27,message_95e780ba-aab5-432b-857f-fc47e96363bd,10.58106,-1.507478,26.74176,7.068398
2022-07-14 09:32:30,message_dd1759da-780b-42cc-bb14-813995fdfe3a,11.53101,-4.855037,26.78882,1.931008
2022-07-14 09:32:36,message_7dc45298-e456-492b-be17-3c0148782dd2,10.5021,1.222732,26.78882,6.26441
2022-07-14 09:32:42,message_f18d5e65-d97e-4aaf-b5d1-666717f2b707,12.30868,2.9671,26.78882,1.660619
2022-07-14 09:32:45,message_58c7738e-a2d6-4733-bafa-5c9859ec37fc,10.31546,1.143769,26.74176,6.9679
2022-07-14 09:32:51,message_f2f13a27-ddfc-413c-9cb6-a148bd552d72,11.85404,3.069991,26.74176,1.909472
2022-07-14 09:32:57,message_ad8a9d2c-3fb5-4671-8222-d3f06635836c,11.81337,1.677369,26.74176,-0.014357
2022-07-14 09:33:00,message_da994141-d92d-4663-91ce-6fcd8657699b,11.94736,-3.646662,26.69471,1.06002
2022-07-14 09:33:06,message_9c9b28f9-bebe-4e34-8334-42be86afb642,13.37827,-0.256032,26.74176,-0.461815
2022-07-14 09:33:12,message_f5dfb304-e1d4-4fe2-b384-c33b0ff0b9a0,10.94956,-4.618148,26.69471,4.335794
2022-07-14 09:33:15,message_e47f546e-48d9-48db-b578-70f4f7be204c,11.55733,2.526821,26.64765,2.768496
2022-07-14 09:33:21,message_ebaa7391-ba10-4639-9f87-3835405fc881,12.90928,-0.459422,26.78882,-1.459622
2022-07-14 09:33:27,message_6773396c-6eff-4cc5-9656-1d9f19f48dc8,10.85624,2.292324,26.69471,4.429115
2022-07-14 09:33:30,message_c3ff5baf-bc5c-4e40-9309-2134126ac48a,10.41596,-0.081356,26.78882,6.652047
2022-07-14 09:33:36,message_28317eba-32f0-4320-a87d-d2b143b6bbf6,12.05265,2.821138,26.74176,3.397808
2022-07-14 09:33:42,message_47ea9fd6-7eaa-4f08-8ddd-31ad4922ee99,11.40898,-4.862216,26.74176,3.28056
2022-07-14 09:33:45,message_f68e05ae-a642-48de-b890-f900b6235114,12.43071,3.026921,26.78882,3.802195
2022-07-14 09:33:54,message_ee725167-326b-47ac-a0bf-dfbc0ff858e7,11.15534,-3.739982,26.74176,4.740181
2022-07-14 09:33:57,message_c797fb4f-cb5d-45b6-85a9-61caec056933,10.90409,-0.868595,26.74176,6.195018
2022-07-14 09:34:00,message_4c61461d-b285-461e-b87d-c60f0d776705,11.23909,-4.713861,26.78882,3.993621
2022-07-14 09:34:06,message_48a2ac3f-d3c0-4fcb-8a8d-9ed25846970c,11.46401,2.859423,26.78882,2.17029
2022-07-14 09:34:12,message_9273397e-868a-448e-84aa-edefd7663860,11.47598,2.792424,26.64765,0.90688
2022-07-14 09:34:15,message_8fc0ccd4-2f35-44fc-afad-6724a62d813c,12.11008,1.603191,26.74176,0.129212
2022-07-14 09:34:21,message_147b56e6-d7eb-4327-af54-0a0c1b5113e7,10.69113,-4.926822,26.69471,6.175875
2022-07-14 09:34:27,message_0a8f2a21-e31c-4aaa-b743-51d3513b1db5,10.04746,-1.722832,26.74176,8.114061
2022-07-14 09:34:30,message_e385ee61-87ef-4f9c-b303-cf10807ceb92,12.07897,-5.015356,26.78882,1.792224
2022-07-14 09:34:36,message_83b3602c-8f5c-439e-b88a-7f5519b747d6,10.54996,-0.019143,26.74176,6.297909
2022-07-14 09:34:42,message_77b21272-fd47-438c-9fb9-143ffca16781,11.5669,-3.704089,26.74176,0.837488
2022-07-14 09:34:45,message_ce0f73c1-f859-49dc-a278-aca20a21a9a1,12.06461,0.928415,26.83588,-0.504886
2022-07-14 09:34:51,message_5f52993e-7ee7-4af0-b628-f3f9e266e313,10.96631,-4.721039,26.78882,2.95035
2022-07-14 09:34:57,message_55973b97-f026-4067-ac27-db77a9354bdb,10.69831,-3.15374,26.74176,5.962914
2022-07-14 09:35:00,message_bc7f00e5-4dd7-4c73-9d17-fbbe283685b2,11.30369,-0.550349,26.69471,5.536991
2022-07-14 09:35:06,message_f162ae1d-c94e-4471-b844-46e30efe8be1,10.94716,-2.679961,26.78882,5.898308
2022-07-14 09:35:12,message_68e0a950-986c-4b3e-b9bd-a7e352dfcb16,10.81317,-3.608377,26.78882,4.721039
2022-07-14 09:35:15,message_d8d7a7e8-dd1b-4ece-a60d-753e27307eb4,11.79422,-0.289532,26.83588,4.242475
2022-07-14 09:35:21,message_ff8fc85a-1fad-49e2-a120-57f1e3e5dc24,10.59303,-2.39043,26.74176,5.867201
2022-07-14 09:35:27,message_9de3bbd1-df0b-4dc9-afef-8fa66120a62d,11.75354,0.92363,26.83588,1.622334
2022-07-14 09:35:30,message_de54fec3-d7d2-4845-9222-14871fbc46c7,10.62892,-1.928615,26.78882,5.778667
2022-07-14 09:35:36,message_12ecae9f-b85f-4ca8-9c6f-e62992f1df2c,11.4353,2.019542,26.78882,2.478964
2022-07-14 09:35:42,message_4b6dd279-3c49-4544-8c2a-dc7e942224f7,11.46162,-2.924029,26.88294,1.493121
2022-07-14 09:35:45,message_d2a3af77-bea6-4503-9427-fc04f45ee40e,12.07418,-1.653441,26.83588,-0.011964
2022-07-14 09:35:51,message_74bff6e9-d373-46fa-88f7-e044c3fa1344,11.66022,2.09372,26.69471,2.306681
